Business_ID,Name,Address,Coordinates,Number_of_Reviews,Rating,Zip_Code,Cuisine
3oB2_2vpeIyxJt1GvlcZBA,Baodega,7 W 20th St,{40.74014:-73.99178},63,4.0,10011,chinese
WIj12zDqIbBucW1hXYhrew,King's Kitchen,92 E Broadway,{40.71399:-73.99367},246,4.0,10002,chinese
AvTezlpt3GXTdSEnXbHP4w,Fatima's Halal Kitchen,25-25 Broadway,{40.7631186084319:-73.9275405041124},376,4.0,11106,chinese
8ig0yf0003DAp4YOGTlbVg,Spicy Village,68 Forsyth St,{40.71695:-73.99327},625,4.0,10002,chinese
4FD0TAxe70nb3ngk3sXF9Q,Uluh,152 2nd Ave,{40.7293403:-73.9866071},159,4.0,10003,chinese
ynB8T3htx8s5V0YV8gVPGA,21 Shanghai House,21 Division St,{40.7140138244835:-73.9964454932541},420,4.0,10002,chinese
ikx8R8u2lmxhpLGByCjgPw,House Special 甘來飯店,171 Hester St,{40.71785:-73.9967999},46,4.0,10013,chinese
MdDj13LgIs0WdbIdiyqB7Q,Pinch Chinese,177 Prince St,{40.72645:-74.0018},316,4.0,10012,chinese
6tASYtO9zOrXr8-LPnAToQ,Zest Szechuan,45 W 39th St,{40.75274:-73.98445},549,4.0,10018,chinese
0GftSP2dRwEzujkv2VKIgA,Wok Wok,11 Mott St,{40.71406:-73.99883},871,4.0,10013,chinese
R7EGjHWw0tNheY6-ahH8fQ,Tuome,536 E 5th St,{40.72412482724:-73.9828906263924},463,4.5,10009,chinese
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,{40.7190148:-73.9968228},2026,4.0,10013,chinese
l44CFBTejwL0ElKmkH7xQQ,Decoy,529 Hudson St,{40.734196:-74.006519},408,4.0,10014,chinese
oJjMYhA6z1_BVaQpSdyl8g,Golden Forest,353 Grand St,{40.7167:-73.98945},153,4.0,10002,chinese
ye-TSU-mu1Gd5TAJOpI5Mg,Lichee Nut,162 Montague St,{40.694149:-73.9928131},261,3.0,11201,chinese
zPK48x2wvTmJTQ_13bbeRQ,Hong Kong Cafe,357 Franklin Ave,{40.687267:-73.95667},31,4.0,11238,chinese
Bb0h5Rs8ugSM2CjulRhfBw,Spicy Moon,328 E 6th St,{40.72674:-73.98722},185,4.5,10003,chinese
3gqKLANaXNsHZnPDjKrcTg,Win Son,159 Graham Ave,{40.70747:-73.94339},414,4.5,11206,chinese
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,16 Mott St,{40.71426:-73.99849},292,4.0,10013,chinese
yj9vVa08ABH6BBOLHMfJag,Bund On Broadway,25-08 Broadway,{40.7631578922095:-73.9282292},122,3.5,11106,chinese
Gd3_3mxOvj2xYiqysV8rbQ,Xi'an Famous Foods,81 St Marks Pl,{40.72782:-73.98551},1578,4.0,10003,chinese
LT0yyLNM84EiJj9DL0rfHA,Hui Restaurant & Bar,314 E 70th St,{40.76701:-73.95846},116,4.5,10021,chinese
v0opDMezc6pKgdfR22KUnQ,Da Tang Szechuan,18 W 38th St,{40.75128:-73.98376},168,4.5,10018,chinese
DpfE0gPBXj-aj2pnEh4E2Q,Wei Williamsburg,145 Borinquen Pl,{40.7107868:-73.9542168},139,3.5,11211,chinese
54om5q7V4anmIXw2PdNJbA,Chen's Buffet Bar,32 Cedar St,{40.70712:-74.00845},36,4.0,10038,chinese
Bwj7nzWphGV6FaZ_ygTSOg,Happy Hot Hunan,969 Amsterdam Ave,{40.80133:-73.96466},146,3.5,10025,chinese
lbZqfX4vvCr1aMLuEey3Ag,Chang Heng,54 Willoughby St,{40.69213:-73.9867},16,3.5,11201,chinese
lSrdxUNxyMgh5YU903JUiw,Ningbo Cafe,21 S End Ave,{40.7081329:-74.018318},143,4.0,10280,chinese
tsTGTBrz2TqrYRgdr6vEJQ,C And Y Chinese,399 5th Ave,{40.67042:-73.98496},53,4.0,11215,chinese
5tWpAFpF618KJxBhHJzF7g,E Noodle 粥麵館 - Chinatown,5 Catherine St,{40.71379:-73.99731},76,4.0,10038,chinese
wdGMVLUzocmnl2tST0lheg,YunShang Rice Noodle House,53 Bayard St,{40.71525:-73.99765},146,4.0,10013,chinese
rJ4N10Nbh-GM49qOSGFoAw,Old Xi'an,164 Pearl St,{40.70591:-74.00747},157,4.5,10005,chinese
AJKcsxpc9IthvhdEnfqogg,Good Chinese Restaurant,663 Knickerbocker Ave,{40.6951122106303:-73.9116479761463},124,3.5,11221,chinese
nI1UYDCYUTt23TpGxqnLKg,Buddakan,75 9th Ave,{40.7422762672197:-74.0048000961542},3861,4.0,10011,chinese
rYw5rQbWRX9buZHZbxqWdA,Congee Village,100 Allen St,{40.7187:-73.99031},1538,3.5,10002,chinese
3fQ9IExhN9KMqGHVm_9AEQ,Wing Cheong Restaurant,1389 Fulton St,{40.680375:-73.945514},52,4.0,11216,chinese
w3wKbjuNCZnYoPOr-FCk5w,New Moon,536 3rd Ave,{40.74692:-73.97766},100,4.0,10016,chinese
tfMPbnQqJ1P1RIab-o6gtg,Kum Kau,465 Myrtle Ave,{40.693573:-73.966702},245,3.5,11205,chinese
hUdRX0a_2ZZEmB8KCp-WYw,Authentic Szechuan,384 5th Ave,{40.6711753186162:-73.9848930557056},80,3.5,11215,chinese
5TnBfeoBpxPPwIXMGBMasg,New Double Dragon,37 1st Ave,{40.7242:-73.98801},76,4.0,10003,chinese
CKG7LVmSlvI93scyb1aVeg,Mr Wonton,73 7th Ave,{40.67517:-73.97481},185,3.5,11217,chinese
bT4CDzyhV-frXV6ijvXnvw,Super Taste,26 Eldridge St,{40.71513:-73.99341},535,4.0,10002,chinese
x64xHVZoQj1ZOjzPqVprkw,Little Tong Noodle Shop,177 1st Ave,{40.72937:-73.98424},249,4.0,10003,chinese
Lr8pyIPm3SsVcT3IlCXwcw,Noodle King of NYC,513 6th Ave,{40.73699:-73.99744},82,4.0,10011,chinese
DjLxykRuP8OFtGtPPZpfdQ,Caridad China,108 Graham Ave,{40.7049499:-73.94264},95,4.0,11206,chinese
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,550 3rd Ave,{40.74744:-73.97728},329,4.0,10016,chinese
KSleHGTG1yL1E7OEFFPoNQ,LaoMa Spicy,58 E 8th St,{40.7308968437954:-73.9934402704239},117,4.0,10003,chinese
5rX_7IkvFx5MKqS3ikQe3Q,Fortune House,82 Henry St,{40.698455:-73.992805},119,3.0,11201,chinese
SNhDVaf_n7VDZcfry8mYdA,The Bao,13 St Marks Pl,{40.72939:-73.9889199},1046,3.5,10003,chinese
vWEKZVPIYFewfqCOkkvVIQ,Lin's Garden,652 Seneca Ave,{40.7034531:-73.9090729},44,4.0,11385,chinese
5YBYGnZtTGJABXC4Jahhzg,Jasmine Restaurant,216 E 49th St,{40.75467:-73.97057},237,4.0,10017,chinese
0vg2Z-HPwkyVVX613j2ysg,Peng's Noodle Folk,1659 1st Ave,{40.77726:-73.94932},407,4.5,10028,chinese
fLq5j4fkFmPD6I2tt6dSWQ,100% Mr Lin,445 Albee Square W,{40.6910201049104:-73.9833099022508},14,4.0,11201,chinese
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,920 Amsterdam Ave,{40.80006:-73.96639},130,4.5,10025,chinese
RoPrfBqmRTqw_cBqcWAfYA,Dim Sum Bar,167 Grand St,{40.714735:-73.961346},183,4.0,11249,chinese
pMD9ZQcyKfD6N2zb0kiR2A,Hardee's,209 Utica Ave,{40.6716833260603:-73.9305902612873},37,4.0,11213,chinese
jWuUibgnTGsJibOrr6UUSw,Haidilao Hotpot,138-23 39th Ave,{40.7612633:-73.8280301},329,4.5,11354,chinese
zubN8Ve-RyoljRZV4NRxEQ,Wo Hop,17 Mott St,{40.7142239034582:-73.9988691693115},1383,3.5,10013,chinese
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,118A Eldridge St,{40.71839:-73.9917399},2560,4.0,10002,chinese
DOa_Hm5HHT99GOvlhbydaQ,Le Sia,11 E 7th St,{40.728886:-73.989841},228,4.0,10003,chinese
bcqTacyE-0XDaZYG_xbTBQ,The Tang - East Village,120 1st Ave,{40.72703:-73.98539},334,4.0,10009,chinese
CgsvKB65PZrZV8AhnD-wnw,King Jade Garden,141 E 55th St,{40.75947:-73.96942},21,4.0,10022,chinese
1fVp9c5Vw04ig171a_juRw,U Like,602 Marcy Ave,{40.694007:-73.949259},44,4.5,11206,chinese
i4cyV13lYIS4mcJKZW75cA,Food Sing,172 Grand St,{40.714324:-73.961257},46,3.5,11211,chinese
QaolMEijS7L6eodSneOdng,Tridim West,467 Columbus Ave,{40.78412:-73.97368},37,4.5,10024,chinese
pBNMZp_tKCAfRNx7-ybcHQ,Calle Dao - Chelsea,461 W 23rd St,{40.7476515:-74.0037312},498,4.5,10011,chinese
k8GFfCXO2FIIJIo0ICYSRA,Bao Bao Cafe,106 Greenwich St,{40.70854:-74.01367},153,4.0,10006,chinese
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,{40.74922:-73.97785},144,4.5,10016,chinese
3fBiB3slTfBpmf39vD7sJw,Jade Garden,4028 Broadway,{40.8418951405518:-73.9389026440374},78,4.0,10032,chinese
nAcVK-Y1_ojsRF_04o-x-A,Yin Ji Chang Fen Rice Roll,91 Bayard St,{40.71583:-73.999336},24,4.0,10013,chinese
jLhKLKuNPMTzAMJgEY5DsQ,Monarch Theater Restaurant,146 Metropolitan Ave,{40.71595:-73.96222},43,4.5,11249,chinese
U74_3F7r3tMhd6dmTmDBxQ,Macao trading,311 Church St,{40.719623:-74.003904},726,4.0,10013,chinese
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,165 W 23rd St,{40.7440494396358:-73.995028194335},555,4.0,10011,chinese
kxv4jD_qXRPVrV0oPR7isQ,Yu Kitchen,2656 Broadway,{40.79759:-73.9693099},83,4.5,10025,chinese
IgTNgGE0qvTjkmCUzrNwtQ,Michael & Ping's Modern Chinese Take-Out,437 3rd Ave,{40.672501:-73.990177},247,3.5,11215,chinese
7erFgHiQmw7ZJfVPmOjeeA,M Shanghai Bistro & Garden,292 Grand St,{40.71293:-73.95757},417,3.5,11211,chinese
8Oo2AtQEPDfxIOnA8wfXoQ,886,26 Saint Marks Pl,{40.72877:-73.98873},291,4.0,10003,chinese
3W6S2wraTAj5y4Cd8eQvvw,8 Dragon & Phoenix Restaurant,22-17 31st St,{40.7754678279161:-73.911422342062},146,4.0,11105,chinese
zdX9mwhoknXXYL1GCstnow,Lucky Garden,305L Wyckoff Ave,{40.7003:-73.91221},12,4.5,11237,chinese
Z9t-ou4JhiBu-n4-F7hDng,Meet Noodles,50 3rd Ave,{40.73097:-73.9891},133,4.5,10003,chinese
k34VgKhpuIRPEr8vKSMwjA,Chung Chun Kitchen,338 Myrtle Ave,{40.69314:-73.973},20,4.0,11205,chinese
tDYk6DmmU3buWBs9G0NBXQ,China Restaurant,937 Utica Ave,{40.650260925293:-73.929931640625},61,4.0,11203,chinese
oD0mN9vXuc1gFRyw1CG-Pw,New China Wok Chinese Kitchen,57 4th Ave,{40.68257:-73.97927},23,4.0,11217,chinese
